session_id,label_llm,label_model,label_workload,win_idx,flow_elapsed_s,flow_position_norm,pkt_count,fwd_count,bwd_count,fwd_bwd_pkt_ratio,total_bytes,fwd_bytes,bwd_bytes,byte_ratio_bwd_fwd,pkt_ratio_bwd_fwd,pktlen_mean,pktlen_std,pktlen_min,pktlen_max,pktlen_skew,pktlen_kurt,pktlen_p10,pktlen_p25,pktlen_p50,pktlen_p75,pktlen_p90,pktlen_p95,pktlen_p95_p50_ratio,pktlen_p75_p25_ratio,pktlen_iqr,pktlen_entropy,pktlen_norm_entropy,fwd_pktlen_mean,fwd_pktlen_std,fwd_pktlen_min,fwd_pktlen_max,fwd_pktlen_skew,fwd_pktlen_kurt,bwd_pktlen_mean,bwd_pktlen_std,bwd_pktlen_min,bwd_pktlen_max,bwd_pktlen_skew,bwd_pktlen_kurt,throughput_bps,bwd_throughput_bps,iat_mean,iat_std,iat_min,iat_max,iat_skew,iat_kurt,iat_p10,iat_p25,iat_p50,iat_p75,iat_p90,iat_p95,iat_p95_p50_ratio,iat_p75_p25_ratio,iat_iqr,iat_entropy,iat_norm_entropy,iat_ac_lag1,iat_ac_lag2,iat_ac_lag3,pkt_burst_count,pkt_burst_gap_cv,pkt_frac_burst_pkts,bwd_iat_mean,bwd_iat_std,bwd_iat_min,bwd_iat_max,bwd_iat_skew,bwd_iat_kurt,bwd_iat_ac_lag1,bwd_iat_ac_lag2,bwd_iat_ac_lag3,bwd_burst_count,bwd_burst_gap_cv,bwd_frac_burst_pkts,byte_growth_r2,byte_growth_slope,byte_growth_residual_std,tls_detected,token_count,tok_iat_mean,tok_iat_std,tok_iat_min,tok_iat_max,tok_iat_skew,tok_iat_kurt,tok_iat_p10,tok_iat_p25,tok_iat_p50,tok_iat_p75,tok_iat_p90,tok_iat_p95,tok_iat_p95_p50_ratio,tok_iat_p75_p25_ratio,tok_iat_iqr,tok_iat_entropy,tok_iat_norm_entropy,tok_iat_ac_lag1,tok_iat_ac_lag2,tok_iat_ac_lag3,tok_burst_count,tok_burst_gap_cv,tok_frac_burst_pkts,tok_rate,tok_iat_cv,delta_iat_mean,delta_iat_std,delta_iat_p50,delta_iat_p95,delta_iat_ac_lag1,delta_bwd_iat_mean,delta_bwd_iat_std,delta_bwd_iat_ac_lag1,delta_pktlen_mean,delta_pktlen_entropy,delta_throughput_bps,delta_byte_ratio_bwd_fwd,delta_byte_growth_r2,delta_byte_growth_residual_std,delta_tok_iat_mean,delta_tok_iat_std,delta_tok_iat_p50,delta_tok_iat_ac_lag1,delta_tok_rate,delta_tok_iat_cv,bytes_per_token,iat_tok_pkt_ratio
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,0,0.0,0.0,2.0,1.0,1.0,1.0,121.0,55.0,66.0,1.2,1.0,60.5,5.5,55.0,66.0,0.0,0.0,56.1,57.75,60.5,63.25,64.9,65.45,1.0818,1.0952,5.5,1.0,1.0,55.0,0.0,55.0,55.0,0.0,0.0,66.0,0.0,66.0,66.0,0.0,0.0,242.0,132.0,0.004947,0.0,0.004947,0.004947,0.0,0.0,0.004947,0.004947,0.004947,0.004947,0.004947,0.004947,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,208.0,0.00239,0.002607,0.000166,0.012146,0.8936,-0.521,0.00025,0.000343,0.000893,0.005305,0.00628,0.006652,7.4482,15.48,0.004963,2.5576,0.6912,-0.2062,0.0836,-0.064,1.0,0.0,1.0,416.0,1.0908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,1,0.1,0.0416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,209.0,0.00238,0.002687,0.000166,0.012146,0.9487,-0.2467,0.000244,0.000258,0.000883,0.005342,0.006269,0.006582,7.4578,20.7415,0.005084,2.4382,0.6801,-0.2043,0.096,-0.1059,1.0,0.0,1.0,418.0,1.1287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1e-05,8e-05,-1e-05,0.0019,2.0,0.0379,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,2,0.2,0.0832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,216.0,0.002306,0.002782,0.000179,0.01282,1.1832,0.5171,0.000244,0.000256,0.000719,0.005335,0.006283,0.006604,9.1864,20.8454,0.005079,2.2685,0.613,-0.16,0.0343,-0.1408,1.0,0.0,1.0,432.0,1.2061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.4e-05,9.5e-05,-0.000164,0.0443,14.0,0.0774,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,3,0.3,0.1248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,192.0,0.0022,0.002754,0.000215,0.01282,1.3544,1.0828,0.000244,0.000255,0.000699,0.005201,0.006268,0.006651,9.5111,20.3607,0.004946,2.2272,0.6019,-0.0961,-0.0172,-0.1935,1.0,0.0,1.0,384.0,1.252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000106,-2.8e-05,-2e-05,0.0639,-48.0,0.0459,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,4,0.4,0.1664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,156.0,0.002074,0.002758,0.000215,0.01282,1.5919,1.9146,0.000244,0.000255,0.000609,0.004515,0.006203,0.00671,11.0241,17.6729,0.004259,2.1953,0.5933,-0.074,-0.0234,-0.2132,1.0,0.0,1.0,312.0,1.3297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000126,4e-06,-9e-05,0.0221,-72.0,0.0777,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,5,0.5,0.2081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,118.0,0.001882,0.002657,0.000215,0.01282,1.7994,2.6726,0.000238,0.000252,0.000515,0.001413,0.006203,0.006602,12.832,5.6161,0.001161,2.03,0.5868,-0.0299,-0.0279,-0.2173,1.0,0.0,1.0,236.0,1.4113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000192,-0.000101,-9.4e-05,0.0441,-76.0,0.0816,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,6,0.6,0.2497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,70.0,0.001776,0.002641,0.000215,0.01282,1.9974,3.5759,0.000228,0.000252,0.000479,0.001277,0.006202,0.006542,13.6709,5.0758,0.001025,1.8528,0.5845,0.0718,-0.21,-0.2503,1.0,0.0,1.0,140.0,1.487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000106,-1.6e-05,-3.6e-05,0.1017,-96.0,0.0757,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,7,0.7,0.2913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.001553,0.002031,0.000232,0.006204,1.5262,0.525,0.000249,0.000255,0.000561,0.001172,0.005463,0.005768,10.2854,4.5923,0.000917,2.25,0.8015,0.0335,-0.1681,-0.3206,1.0,0.0,1.0,34.0,1.3076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000223,-0.00061,8.2e-05,-0.0383,-106.0,-0.1794,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,8,0.8,0.3329,3.0,0.0,3.0,0.0,2768.0,0.0,2768.0,2768.0,3.0,922.6667,1117.9297,93.0,2503.0,0.7045,0.0,108.8,132.5,172.0,1337.5,2036.8,2269.9,13.1971,10.0943,1205.0,0.9183,0.9183,0.0,0.0,0.0,0.0,0.0,0.0,922.6667,1117.9297,93.0,2503.0,0.7045,0.0,5536.0,5536.0,0.000112,2.9e-05,8.3e-05,0.000142,0.0,0.0,8.9e-05,9.8e-05,0.000112,0.000127,0.000136,0.000139,1.2357,1.3014,2.9e-05,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.000112,2.9e-05,8.3e-05,0.000142,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,9,0.9,0.3745,5.0,0.0,5.0,0.0,2888.0,0.0,2888.0,2888.0,5.0,577.6,963.56976,60.0,2503.0,1.4933,0.2408,60.0,60.0,93.0,172.0,1570.6,2036.8,21.9011,2.8667,112.0,0.7219,0.7219,0.0,0.0,0.0,0.0,0.0,0.0,577.6,963.56976,60.0,2503.0,1.4933,0.2408,5776.0,5776.0,0.028088,0.048138,8.3e-05,0.111465,1.1546,-0.6667,0.000101,0.000127,0.000402,0.028364,0.078224,0.094845,235.6679,223.0947,0.028236,0.8113,0.8113,-0.4965,1.0,0.0,2.0,0.0,0.75,0.028088,0.048138,8.3e-05,0.111465,1.1546,-0.6667,-0.4965,1.0,0.0,2.0,0.0,0.75,0.4708,16012.49,930.62,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,10,1.0,0.4161,7.0,0.0,7.0,0.0,3035.0,0.0,3035.0,3035.0,7.0,433.57144,845.67114,54.0,2503.0,2.0329,2.1482,57.6,60.0,93.0,132.5,1104.4,1803.7,19.3946,2.2083,72.5,0.5917,0.5917,0.0,0.0,0.0,0.0,0.0,0.0,433.57144,845.67114,54.0,2503.0,2.0329,2.1482,6070.0,6070.0,0.029253,0.04006,8.3e-05,0.111465,1.258,0.0975,0.000112,0.000272,0.009571,0.038133,0.078074,0.09477,9.9017,140.1141,0.037861,1.7925,0.8962,-0.4089,-0.3479,0.9153,2.0,0.0,0.8333,0.029253,0.04006,8.3e-05,0.111465,1.258,0.0975,-0.4089,-0.3479,0.9153,2.0,0.0,0.8333,0.5493,13153.42,815.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,11,1.1,0.4577,9.0,0.0,9.0,0.0,3277.0,0.0,3277.0,3277.0,9.0,364.1111,757.1984,54.0,2503.0,2.4626,4.0897,58.8,60.0,93.0,153.0,638.2,1570.6,16.8882,2.55,93.0,0.5033,0.5033,0.0,0.0,0.0,0.0,0.0,0.0,364.1111,757.1984,54.0,2503.0,2.4626,4.0897,6554.0,6554.0,0.036894,0.047536,8.3e-05,0.119178,0.8967,-0.9429,0.000124,0.000378,0.009571,0.061379,0.113779,0.116478,12.1698,162.271,0.061001,2.0,0.8614,-0.3698,-0.3642,0.0281,3.0,0.0334,0.75,0.036894,0.047536,8.3e-05,0.119178,0.8967,-0.9429,-0.3698,-0.3642,0.0281,3.0,0.0334,0.75,0.4948,7497.3,827.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,12,1.2,0.4993,9.0,0.0,9.0,0.0,3277.0,0.0,3277.0,3277.0,9.0,364.1111,757.1984,54.0,2503.0,2.4626,4.0897,58.8,60.0,93.0,153.0,638.2,1570.6,16.8882,2.55,93.0,0.5033,0.5033,0.0,0.0,0.0,0.0,0.0,0.0,364.1111,757.1984,54.0,2503.0,2.4626,4.0897,6554.0,6554.0,0.036894,0.047536,8.3e-05,0.119178,0.8967,-0.9429,0.000124,0.000378,0.009571,0.061379,0.113779,0.116478,12.1698,162.271,0.061001,2.0,0.8614,-0.3698,-0.3642,0.0281,3.0,0.0334,0.75,0.036894,0.047536,8.3e-05,0.119178,0.8967,-0.9429,-0.3698,-0.3642,0.0281,3.0,0.0334,0.75,0.4948,7497.3,827.69,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,13,1.3,0.5409,6.0,0.0,6.0,0.0,509.0,0.0,509.0,509.0,6.0,84.833336,33.948082,54.0,153.0,1.0966,-0.0811,57.0,60.0,74.5,92.0,123.0,138.0,1.8523,1.5333,32.0,1.9183,0.9591,0.0,0.0,0.0,0.0,0.0,0.0,84.833336,33.948082,54.0,153.0,1.0966,-0.0811,1018.0,1018.0,0.036692,0.044296,0.000457,0.119178,1.0616,-0.4121,0.000539,0.000663,0.018479,0.044684,0.08938,0.104279,5.6431,67.3923,0.044021,1.9219,0.961,-0.2623,-0.468,-1.0,2.0,0.0,0.8,0.036692,0.044296,0.000457,0.119178,1.0616,-0.4121,-0.2623,-0.468,-1.0,2.0,0.0,0.8,0.924,1909.9,43.48,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,14,1.4,0.5825,5.0,0.0,5.0,0.0,449.0,0.0,449.0,449.0,5.0,89.8,35.142,54.0,153.0,0.8301,-0.589,56.4,60.0,89.0,93.0,129.0,141.0,1.5843,1.55,33.0,1.9219,0.961,0.0,0.0,0.0,0.0,0.0,0.0,89.8,35.142,54.0,153.0,0.8301,-0.589,898.0,898.0,0.111138,0.106448,0.000457,0.280234,0.6604,-1.0779,0.013725,0.033627,0.081931,0.159442,0.231917,0.256075,3.1255,4.7415,0.125815,2.0,1.0,-0.9729,1.0,0.0,3.0,0.4032,0.5,0.111138,0.106448,0.000457,0.280234,0.6604,-1.0779,-0.9729,1.0,0.0,3.0,0.4032,0.5,0.7889,784.13,62.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,15,1.5,0.6242,3.0,0.0,3.0,0.0,302.0,0.0,302.0,302.0,3.0,100.666664,38.853,60.0,153.0,0.4233,0.0,65.8,74.5,89.0,121.0,140.2,146.6,1.6472,1.6242,46.5,1.585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.666664,38.853,60.0,153.0,0.4233,0.0,604.0,604.0,0.140345,0.139888,0.000457,0.280234,0.0,0.0,0.028435,0.070401,0.140345,0.21029,0.252256,0.266245,1.8971,2.987,0.139888,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.5,0.140345,0.139888,0.000457,0.280234,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,16,1.6,0.6658,1.0,0.0,1.0,0.0,60.0,0.0,60.0,60.0,1.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,60.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,17,1.7,0.7074,1.0,0.0,1.0,0.0,60.0,0.0,60.0,60.0,1.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,60.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,18,1.8,0.749,1.0,0.0,1.0,0.0,60.0,0.0,60.0,60.0,1.0,60.0,0.0,60.0,60.0,0.0,0.0,60.0,60.0,60.0,60.0,60.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,60.0,60.0,0.0,0.0,120.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,19,1.9,0.7906,3.0,0.0,3.0,0.0,239.0,0.0,239.0,239.0,3.0,79.666664,19.154345,54.0,100.0,-0.3961,0.0,60.2,69.5,85.0,92.5,97.0,98.5,1.1588,1.3309,23.0,1.585,1.0,0.0,0.0,0.0,0.0,0.0,0.0,79.666664,19.154345,54.0,100.0,-0.3961,0.0,478.0,478.0,0.00037,0.00029,7.9e-05,0.00066,0.0,0.0,0.000137,0.000224,0.00037,0.000515,0.000602,0.000631,1.7072,2.2944,0.00029,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.00037,0.00029,7.9e-05,0.00066,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
9647749d,groq_qwen3_32b,qwen/qwen3-32b,short_factual,20,2.0,0.8322,7.0,0.0,7.0,0.0,473.0,0.0,473.0,473.0,7.0,67.57143,16.456497,54.0,100.0,1.0608,-0.5148,54.0,57.0,60.0,72.5,91.0,95.5,1.5917,1.2719,15.5,1.8424,0.9212,0.0,0.0,0.0,0.0,0.0,0.0,67.57143,16.456497,54.0,100.0,1.0608,-0.5148,946.0,946.0,0.001549,0.002602,6e-05,0.007308,1.7105,1.0532,7e-05,8.8e-05,0.000388,0.000969,0.00419,0.005749,14.8155,10.9616,0.000881,1.7925,0.8962,-0.3163,-0.3285,0.9997,1.0,0.0,1.0,0.001549,0.002602,6e-05,0.007308,1.7105,1.0532,-0.3163,-0.3285,0.9997,1.0,0.0,1.0,0.8206,27702.81,51.37,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.001553,-0.002031,-0.000561,-0.0335,-34.0,-1.3076,0.0,0.0
